dt_trading,2014-11-03,2014-11-04,2014-11-05,2014-11-06,2014-11-07,2014-11-10,2014-11-11,2014-11-12,2014-11-13,2014-11-14,2014-11-17,2014-11-18,2014-11-19,2014-11-20,2014-11-21,2014-11-24,2014-11-25,2014-11-26,2014-11-27,2014-11-28,2014-12-01,2014-12-02,2014-12-03,2014-12-04,2014-12-05,2014-12-08,2014-12-09,2014-12-10,2014-12-11,2014-12-12,2014-12-15,2014-12-16,2014-12-17,2014-12-18,2014-12-19,2014-12-22,2014-12-23,2014-12-24,2014-12-29,2014-12-30,2014-12-31,2015-01-02,2015-01-05,2015-01-06,2015-01-07,2015-01-08,2015-01-09,2015-01-12,2015-01-13,2015-01-14,2015-01-15,2015-01-16,2015-01-19,2015-01-20,2015-01-21,2015-01-22,2015-01-23,2015-01-26,2015-01-27,2015-01-28,2015-01-29,2015-01-30,2015-02-02,2015-02-03,2015-02-04,2015-02-05,2015-02-06,2015-02-09,2015-02-10,2015-02-11,2015-02-12,2015-02-13,2015-02-16,2015-02-17,2015-02-18,2015-02-19,2015-02-20,2015-02-23,2015-02-24,2015-02-25,2015-02-26
2014-12-09,23.124702874340638,22.804871905140036,22.74675732348204,22.800319797942695,23.162888702619778,23.225171718254995,22.890642242725903,22.891714102863176,22.495832976307746,22.236021569510548,22.761237816844154,22.77733126642124,22.869019802536855,23.03976849038498,23.388730398054665,23.711283719826874,24.536351369112676,24.611328933697287,24.544531244570678,24.20447414824463,24.05031754677962,23.755057531254597,23.860390509523096,23.41591456722102,23.348521406404178,22.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-10,23.134779884163226,22.809490058955163,22.75622125175012,22.812588352457844,23.167851436188037,23.23121260827773,22.89174042002881,22.895322008460404,22.498221097415133,22.235314337210387,22.75972316951594,22.77492394708056,22.86779634114597,23.03770467683078,23.38648322918915,23.711339987855798,24.539974691042104,24.605695392848997,24.529609297917617,24.204862703935127,24.049841511407283,23.755435025488527,23.852289985926152,23.419595169292307,23.34701231398444,22.765434428400194,23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-11,23.14475213717877,22.813903852799587,22.765161571101963,22.8241116643613,23.172966631890862,23.237049005915505,22.893373627326618,22.898908200741655,22.50052906070103,22.235151261014302,22.758797619073107,22.77346625635207,22.867045912203405,23.036698870632087,23.384011226288052,23.71338820065877,24.54650568198272,24.598268507429196,24.509671651048418,24.205198287507447,24.049182871029185,23.755621004576273,23.844107279320752,23.42309166296001,23.345445005500583,22.780748172005342,23.103637322519415,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-12,23.154683404455632,22.818153771718418,22.77364531215882,22.834983250031755,23.178315911359483,23.242778231189163,22.895606911473756,22.902564937013906,22.502840970912438,22.235604019444818,22.75849166158311,22.772956485950647,22.86681489037427,23.03670464935576,23.381493899315238,23.717212918361884,24.55547414748112,24.58948491346084,24.485825350771563,24.205478079988904,24.04833102240208,23.755600547290125,23.835838088580537,23.42637786655155,23.343795196941546,22.795828861626347,23.1071995325502,23.007599782101426,22.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-15,23.184782744819522,22.83031343165363,22.796980142721694,22.86454913812527,23.196471408685042,23.260191479172523,22.90645165127133,22.914772760220217,22.510563271221837,22.241266400149758,22.761542887872483,22.777057952318714,22.86963364898373,23.04233950193906,23.37526727099652,23.737354524879407,24.592737474364014,24.558920433537896,24.400817358824607,24.20596374860413,24.044551081178284,23.75419820124129,23.810509102815132,23.434766583163675,23.33815827852981,22.838701845191046,23.11678504821029,23.029329508776566,22.67877565903789,22.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-16,23.19507276953427,22.83429710436277,22.804244904744166,22.87365074890838,23.203422492879348,23.266325756716352,22.911594321647996,22.919489948691222,22.513627804141386,22.24475569888336,22.763949036692,22.780269898322583,22.871852848613038,23.045943704300164,23.374100010563915,23.746347960439184,24.60733393032617,24.548489956330105,24.370956727994866,24.2060044902525,24.042874882568036,23.753265261289247,23.801904967642297,23.437021360418527,23.33600275999558,22.851929826019347,23.119434348363196,23.035911765972887,22.68782521048134,22.797947257346998,22.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-17,23.205554406133867,22.83830762965307,22.811341012527762,22.88249454004531,23.210902709008273,23.272734868138933,22.917556260862103,22.924630745061833,22.51703864837349,22.249111537284797,22.767073839169285,22.784381561689127,22.874754963446563,23.05033961062749,23.373587173270185,23.756203524275914,24.622451916154056,24.538446143732504,24.341635039044533,24.2059845733895,24.040993346076547,23.75209813515487,23.793233345230494,23.438988602254657,23.333693669158002,22.864514774972758,23.12174011920621,23.042039132659017,22.696444023597525,22.795764082496785,22.39838527263759,22.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-18,23.21625692259935,22.842380813482126,22.81831660507368,22.891144557792124,23.21894845470811,23.27947429591657,22.92436009885448,22.9302441175885,22.520848644925955,22.254362518848048,22.77092642351883,22.78937536951771,22.878359022055523,23.055485690971732,23.3738291480357,23.766770905614226,24.637795248424244,24.529049708985625,24.31352428327994,24.20590487001962,24.038912223094165,23.750700644142483,23.784506135464394,23.44066359220764,23.331226861136884,22.87640485759552,23.123671298684602,23.04765359150989,22.704554927700535,22.79333526768716,22.396689401681005,22.36046466601536,22.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-19,23.227203836397205,22.84655168195961,22.825216672779796,22.899659936717768,23.227588590282682,23.28659254960149,22.932021396080344,22.936371819685917,22.52510542418339,22.260530067895676,22.775512356646306,22.795231104805126,22.882679495328816,23.061341230797538,23.374913136940222,23.777910648528483,24.653096745551643,24.520532044866272,24.287223942757066,24.205766867310217,24.03663999078351,23.749079733311778,23.775737938397207,23.442045191347727,23.328601547573832,22.887558293139335,23.125204354084413,23.052708206182018,22.712093115283544,22.79056434077329,22.39484136070325,22.37073141218508,22.3561601550652,22.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-22,23.261659878731546,22.859988958660658,22.845866401787966,22.924915910950652,23.25725087930564,23.310600767760743,22.960199605427093,22.958150214923375,22.54095460268353,22.284638675599098,22.79367249812056,22.817728043849545,22.900015746788966,23.082769693020623,23.38389140667679,23.813532310217035,24.6965134378011,24.50212579708557,24.224092594443057,24.205027162261285,24.028802296092007,23.74299278883662,23.749373926448584,23.444471917613633,23.319817037876515,22.9163317154261,23.12729238878359,23.064209836415294,22.730808751530322,22.779508762610963,22.387859127186182,22.39869177913173,22.373259999324887,22.250333779483494,22.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-23,23.27370454623265,22.86488522987028,22.85285130204682,22.933385846539068,23.26840643076755,23.319579962115156,22.971304954427143,22.96660847261572,22.547370604142866,22.294543154381397,22.801176269239853,22.82677643688855,22.90725543396229,23.091072233698803,23.388951736123353,23.825784037173932,24.70955581527296,24.49885073396982,24.209578550439584,24.204683137124526,24.0259049135397,23.740610124436238,23.740641784079056,23.444740114898604,23.316616948998202,22.924321829320437,23.12714820754398,23.066777330569835,22.735655261546444,22.774770794702462,22.384938077502483,22.40663747050379,22.378131115424083,22.29724991434542,22.17678950700839,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-24,23.28602494068023,22.870042618557946,22.859938400405152,22.941943140844526,23.280187613635956,23.32907593627659,22.983239522652788,22.975681604326006,22.55439338088218,22.305363634689552,22.80938780403299,22.836546010831594,22.915215525009724,23.099892892391466,23.395092287498997,23.838073668824954,24.721655477251495,24.497171598409665,24.198784693202295,24.204297475927934,24.022899694056186,23.73808562184605,23.73198215720198,23.44476288974236,23.31330476061325,22.9315171980063,23.12660117876692,23.06871651355234,22.739790465194492,22.769482950618503,22.381693455322484,22.413742973604617,22.382452313104363,22.341678556174877,22.202964114739917,21.587454203214364,21.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-29,23.351177052376265,22.900781175265664,22.89771011979671,22.98690633970038,23.347641463249655,23.384296972114846,23.054163244125796,23.029964106431137,22.598999354555435,22.372197013409384,22.860384254141483,22.894856193862353,22.965211887302836,23.150542723758424,23.441819670161745,23.897868878284797,24.7657671496564,24.513630067516555,24.203835314129595,24.201947394805924,24.0072205575669,23.724343933195595,23.690944298349073,23.442032060801676,23.295857081389578,22.95657369544659,23.11884436531035,23.070059829356317,22.750557604047213,22.73590414116189,22.361118271046507,22.43558781233269,22.394664407842892,22.51577891999609,22.30931640324241,21.96012667358286,22.071012117993018,21.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-30,23.364719842455536,22.90811526160997,22.905848279969796,22.996438830632414,23.36256899040673,23.396789684936603,23.070261710083102,23.042441714435267,22.609824110716005,22.387807567047506,22.8723859052752,22.908102595646433,22.977064503409107,23.161748366945467,23.454149715452665,23.9092049944728,24.771269001358878,24.521665150941942,24.21627771135696,24.201442188985506,24.004185186245742,23.721617172329893,23.683461092673205,23.441134366559076,23.292396140450588,22.959741844068947,23.116598288173176,23.06902752013224,22.75105448367399,22.728238462391563,22.356403255469225,22.437345486354577,22.395271093950218,22.54011645710712,22.323973566390947,22.01385009881869,22.14074343320492,22.073994011835243,21.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,23.378340699329712,22.915906517781217,22.91420520901717,23.006163185976618,23.3778493191503,23.409699450213278,23.086852940859757,23.055371935329703,22.62126078558714,22.404031804669838,22.8849099259662,22.92176208084937,22.98945168562595,23.1732384974799,23.467339626274125,23.920286679410033,24.775784982287085,24.531068722145392,24.23206858696966,24.20094451253704,24.001273041784405,23.71899398527868,23.676322713478008,23.440208662052694,23.289029042370483,22.962456165814945,23.114258982966927,23.067736447172997,22.751165284666424,22.720500908374145,22.35163510334877,22.438388213736722,22.395370907530832,22.56109253459768,22.336304266015254,22.05973057018956,22.20038509050588,22.320005988164766,21.393977029349394,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-02,23.405606980287423,22.932958842418145,22.931588608677306,23.02616421242901,23.409185698676993,23.4365956257318,23.12120249702545,23.082375950756486,22.64588470756331,22.43802770300207,22.911359073012203,22.950099825464118,23.01564672235758,23.1969525169179,23.495950963180128,23.941702815838212,24.782323293839525,24.553357468727533,24.272261745514196,24.200010186419753,23.995996048039366,23.71425078232661,23.66328105497342,23.438457420791543,23.28275030490368,22.966887064670175,23.109604016487335,23.064775278694754,22.750622278035056,22.705390871777794,22.34229813126736,22.438810707583613,22.39440177534541,22.593992654826636,22.354627615870896,22.129681203338325,22.291193987991498,22.68916079262051,21.42999985208262,21.181751011814452,20.65000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
