dt_trading,2017-11-01,2017-11-02,2017-11-03,2017-11-06,2017-11-07,2017-11-08,2017-11-09,2017-11-10,2017-11-13,2017-11-14,2017-11-15,2017-11-16,2017-11-17,2017-11-20,2017-11-21,2017-11-22,2017-11-23,2017-11-24,2017-11-27,2017-11-28,2017-11-29,2017-11-30,2017-12-01,2017-12-04,2017-12-05,2017-12-06,2017-12-07,2017-12-08,2017-12-11,2017-12-12,2017-12-13,2017-12-14,2017-12-15,2017-12-18,2017-12-19,2017-12-20,2017-12-21,2017-12-22,2017-12-27,2017-12-28,2017-12-29,2018-01-02,2018-01-03,2018-01-04,2018-01-05,2018-01-08,2018-01-09,2018-01-10,2018-01-11,2018-01-12,2018-01-15,2018-01-16,2018-01-17,2018-01-18,2018-01-19,2018-01-22,2018-01-23,2018-01-24,2018-01-25,2018-01-26,2018-01-29,2018-01-30,2018-01-31,2018-02-01,2018-02-02,2018-02-05,2018-02-06,2018-02-07,2018-02-08,2018-02-09,2018-02-12,2018-02-13,2018-02-14,2018-02-15,2018-02-16,2018-02-19,2018-02-20,2018-02-21,2018-02-22,2018-02-23,2018-02-26,2018-02-27
2017-12-13,18.42495602135528,18.44189830696204,18.200262887117223,18.839072028117847,19.201343724574418,19.233294932917154,19.405697618376855,19.61269294770059,19.816282337952426,19.23444696984015,18.87392326023155,19.16671098366163,18.82383251465117,19.36271836740581,19.73201077934738,19.56698743156025,19.90766793120893,20.3908688588847,20.490841101654905,20.226864685881118,20.321052199100674,20.58712792864818,20.90650196071922,21.499685006593413,21.447594877989406,21.180534609804344,21.429283993120798,21.0386786938099,21.727555929831286,22.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-14,18.426862620064572,18.44495798458499,18.201435866482626,18.83978792232477,19.202189013734422,19.234322781080497,19.406997241849577,19.613067341509595,19.816842499404313,19.235041780984695,18.87429757312883,19.16735887402826,18.8250859988532,19.364270719876405,19.732533767814655,19.568485697868958,19.91174151374424,20.39858506468258,20.514465545778897,20.230672396449158,20.293307085598865,20.57154298704941,20.902951958584126,21.487878885934517,21.44119906999068,21.17915590147151,21.424402710210373,21.0317677164115,21.680461120466955,22.1625108502218,21.398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-15,18.428902995832697,18.447987751924114,18.20289234059433,18.840879957079412,19.203444640213483,19.235720065870414,19.408505445409354,19.613931003969853,19.817833684842654,19.23598227507043,18.875181642396434,19.168416607116395,18.826936866192263,19.366403716667573,19.733364884082558,19.570424240894457,19.9164894749549,20.40713798647001,20.53974441381366,20.234442655985855,20.268011912546115,20.556443978045806,20.899687781613903,21.476537155487282,21.435237313272264,21.17806076418471,21.419944498499383,21.02513905895968,21.634040296470637,22.1352720206241,21.34902033066782,21.658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-18,18.435860351399498,18.45700444214293,18.20895886573037,18.846368779765914,19.209629813728192,19.242120352999795,19.41434005059169,19.61933562965652,19.823336360833636,19.24085528213543,18.88071991144966,19.174024916284583,18.835587409701567,19.375765261867137,19.737773120028947,19.578560789611654,19.933589713535618,20.435908719663235,20.619482478323874,20.245469184265954,20.207270825112353,20.51421046512439,20.891691459424447,21.445540269106495,21.420188253231192,21.176647641374746,21.409481564425857,21.007635836228815,21.501618058522094,22.057250159001022,21.20580483162831,21.583920892905653,21.634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-19,18.438462039431435,18.460014513079226,18.211535560539247,18.848910354446037,19.21247075801579,19.244974600685783,19.41673015897687,19.622025279608504,19.825983735142653,19.243146335464683,18.88346454963314,19.17668667608646,18.839348382355684,19.379708772890382,19.73988851647213,19.581941632283165,19.939884718891975,20.445968118352248,20.64560578344966,20.24902804384566,20.19213853002531,20.50118802525611,20.889634756104705,21.436273084304787,21.416163436288045,21.176831517741313,21.407047206453964,21.00277396535393,21.46054125405857,22.033088196118886,21.16038779785881,21.560293967931052,21.584566594245477,21.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-20,18.441203244655487,18.463037740925987,18.21437897833924,18.851789661139552,19.21568172225773,19.2481752965828,19.419341710184206,19.62512954114343,19.829017297068173,19.24575738579262,18.88662373631035,19.179729208776674,18.843473954627285,19.38398614475628,19.74232357383617,19.585605281499795,19.94631831419348,20.45601198055227,20.67074870771686,20.25251660278853,20.17955606061139,20.4887028575966,20.887878879704328,21.427553803222107,21.41264187017394,21.177345196583556,21.405159999230715,20.99846184466643,21.421314230221846,22.010097720835017,21.11658568445368,21.53751491898514,21.535713479891832,21.046872429138915,20.283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-21,18.444080697969735,18.4660785960189,18.217479829212632,18.854992479698613,19.21924726200255,19.251710285041497,19.422170719058627,19.62862801474066,19.832421549636784,19.248677536121612,18.890174842149648,19.18313986174039,18.84792172787066,19.38855356959754,19.74507198792542,19.589521403290526,19.952807009622695,20.465910620397437,20.694535384875607,20.255927060159667,20.16949439019902,20.476756182210348,20.88641657972962,21.4193841412247,21.409618694131638,21.1781822442044,21.40381973571307,20.994722166321758,21.38408319980075,21.988393189091315,21.074619642455726,21.515736749522677,21.487968241546774,20.99242041227692,20.26771642749937,20.352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-22,18.447089657896072,18.46914016765928,18.22082684471945,18.858502410495063,19.223149472472603,19.255564891090415,19.425211014544363,19.6324984781772,19.836178819308593,19.251893969517667,18.894094041900598,19.186903702813346,18.852650689459495,19.393369089156323,19.748124584271004,19.59366005037213,19.959275204671698,20.475547940231863,20.71664031357738,20.259251204686237,20.161908157544485,20.465346203209087,20.88523718873867,21.411760817900383,21.40708281384824,21.179331000245806,21.403017867873704,20.991567357844467,21.34896472682978,21.968065830616784,21.034676581972647,21.49508857121147,21.44179367212703,20.93925606052038,20.252639199304017,20.350351987375955,20.243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-27,18.463838038641725,18.48477022721138,18.24072149979984,18.879932197429753,19.246911695651928,19.278942208641826,19.44321279114194,19.656525275981966,19.859489490666036,19.27183739426762,18.918293851251224,19.210338535609758,18.879174902022317,19.41982904134903,19.767428274306997,19.61667007837478,19.989214908103875,20.51670249598307,20.79407172612674,20.274261116445953,20.158377497060037,20.41607278119635,20.882971321699674,21.381374762459888,21.4008881989677,21.18897642795972,21.4062014139937,20.984282802664794,21.207065052132716,21.88865384289217,20.86945099059054,21.41164403020946,21.24624189027343,20.708779162223394,20.185980180475436,20.34293496916858,20.124227932242984,19.722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-28,18.46745401413349,18.48794363553805,18.245198068622905,18.884818358560967,19.25232015187727,19.284265263794964,19.447268803685304,19.66205894044119,19.864871830896643,19.27645485401506,18.923854312761843,19.2157802751223,18.88480734561756,19.425355583926617,19.77195256504318,19.621536638769395,19.994414291539233,20.52309478473652,20.802071070242466,20.27687196825127,20.163776568795093,20.407676373497814,20.883074019232076,21.376680818927174,21.40069403355018,21.191457873989652,21.4079833165295,20.98432337207678,21.185409438345648,21.877204680418128,20.843653439090968,21.399149203759414,21.215660609080896,20.671891963587967,20.175174140159076,20.341734051049972,20.104793100422413,19.71212931092226,19.884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-29,18.471127079357178,18.49112071655839,18.24978652437712,18.889835809083362,19.257871056251506,19.289734670719813,19.451431700230053,19.667758003513566,19.870422529589877,19.28122512007307,18.929582605705452,19.22140685021103,18.890472697717193,19.43088830248102,19.77663644910308,19.62642692073005,19.99928487170588,20.528793539766625,20.807520373698964,20.279327538840008,20.170876181562274,20.399719644289586,20.883289279105295,21.372370369386715,21.400734964142885,21.194023059425916,21.410010230992025,20.98474839436272,21.165852165129497,21.86712096535452,20.820228493676478,21.388019180100166,21.18811485894281,20.63843163898481,20.165355348199768,20.3406505185545,20.087295654938487,19.702759941462663,19.694583282901153,19.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
