dt_trading,2013-11-01,2013-11-04,2013-11-05,2013-11-06,2013-11-07,2013-11-08,2013-11-11,2013-11-12,2013-11-13,2013-11-14,2013-11-15,2013-11-18,2013-11-19,2013-11-20,2013-11-21,2013-11-22,2013-11-25,2013-11-26,2013-11-27,2013-11-28,2013-11-29,2013-12-02,2013-12-03,2013-12-04,2013-12-05,2013-12-06,2013-12-09,2013-12-10,2013-12-11,2013-12-12,2013-12-13,2013-12-16,2013-12-17,2013-12-18,2013-12-19,2013-12-20,2013-12-23,2013-12-24,2013-12-27,2013-12-30,2013-12-31,2014-01-02,2014-01-03,2014-01-06,2014-01-07,2014-01-08,2014-01-09,2014-01-10,2014-01-13,2014-01-14,2014-01-15,2014-01-16,2014-01-17,2014-01-20,2014-01-21,2014-01-22,2014-01-23,2014-01-24,2014-01-27,2014-01-28,2014-01-29,2014-01-30,2014-01-31,2014-02-03,2014-02-04,2014-02-05,2014-02-06,2014-02-07,2014-02-10,2014-02-11,2014-02-12,2014-02-13,2014-02-14,2014-02-17,2014-02-18,2014-02-19,2014-02-20,2014-02-21,2014-02-24,2014-02-25,2014-02-26,2014-02-27,2014-02-28
2013-12-06,26.880617701635884,27.084763773218715,27.41935415463816,27.30822959337611,27.1660456601832,27.280201524470737,27.534724972191768,27.639231912166053,27.748420439042636,27.899959047246792,28.216700283570813,28.16677112273848,28.025837056532957,27.72010588020543,27.741537852785395,27.71998020566685,27.664316877249192,27.6510956225005,27.74062122732091,28.1790057518914,21.13622266109079,28.687088896488465,29.254195409387453,28.649759541424228,28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-09,26.91157874571209,27.117852812632307,27.445355366479728,27.3530437568917,27.211015633174934,27.327572511207606,27.577581213204063,27.650688084052074,27.76783375542261,27.92113274359741,28.2413806930903,28.166588873360933,28.02925338707898,27.715591974500708,27.730973098007198,27.707195471326283,27.652201033154437,27.641474322884743,27.730370956641348,28.196808837762845,20.491098959178935,28.67401711557444,29.260204512229244,28.64884917902175,28.511717875469813,28.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-10,26.92133440777129,27.128002462777424,27.453111611005298,27.36570115557399,27.2238547118333,27.34045749793312,27.588710675515284,27.653259649994386,27.772754253469223,27.926294058267136,28.24622907409718,28.166533876672244,28.029523442480258,27.7142275634934,27.729032324627873,27.70588330472388,27.652421304274974,27.645513924691297,27.740294621721006,28.20272253355553,20.86988632360281,28.669607418718787,29.262076619005118,28.648428369042318,28.51533606126229,28.299131643980065,27.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-11,26.930922892324254,27.137830885543657,27.460507805739002,27.377366347585813,27.235799820729625,27.35216049518982,27.59851551769173,27.655284421698358,27.777086403570316,27.930730827295942,28.249820186871396,28.166686855372415,28.029580667448474,27.7131886928417,27.727930000918274,27.70593560800811,27.654460297889607,27.652371821167815,27.755304926504603,28.20862117410233,21.47059425963613,28.665169057964764,29.263864138932917,28.647926315592144,28.51872360360077,28.298198747838672,27.670557374479948,27.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-12,26.94040574415504,27.14740156991979,27.467595831273332,27.38812273050386,27.246950692910644,27.36283078901639,27.607137425571644,27.656810435155474,27.78093328592594,27.93456550054772,28.25238966915974,28.167154395146905,28.029544478074225,27.712608883961618,27.72768760793517,27.707286186441532,27.65814298693332,27.661605510372706,27.774532628413798,28.214501426747006,22.252099847588024,28.660702153282045,29.26555758763078,28.647332235906365,28.521837169712292,28.297142601926588,27.69091234657215,27.714387119749485,27.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-13,26.94983947171299,27.156772815906802,27.474424009961567,27.39805005179289,27.25740095555799,27.37260891682743,27.61471120000074,27.65788703644294,27.784391918565056,27.937912662562542,28.25415747339996,28.168032099270054,28.029525289058938,27.712608501249754,27.728321729881326,27.7098688098093,27.663301947797198,27.67279951153766,27.797162418331013,28.220359625927994,23.175862379008862,28.65620788286925,29.267148807033916,28.64663718492944,28.52463923261312,28.295911691064106,27.710877597375028,27.728579198136934,27.568885520534074,27.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-16,26.978335448222683,27.184195088725836,27.493779314893764,27.42360036885438,27.28539277013734,27.397864448952763,27.632388456152885,27.658933479345162,27.79331756590653,27.946056946728717,28.25661506257447,28.17391749430795,28.030538850343152,27.717090198798772,27.735575574512513,27.724346115208984,27.686076277062572,27.714393896709563,27.87812022686632,28.23776025349262,26.45401771820688,28.64258853267063,29.271247403582567,28.643884319336387,28.530888219052713,28.290760731347046,27.76683907722348,27.7682902070834,27.6232564127812,27.57894565336725,27.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-17,26.988037036488596,27.193247801410056,27.499980164945505,27.430935916036194,27.293854749163703,27.4053043143668,27.63698000538589,27.658732094440364,27.796072136547306,27.948442602720096,28.257061972819706,28.177172240346575,28.0315117819941,27.720348024338126,27.73978366112278,27.73119390661746,27.69561815824039,27.729814761497938,27.907283946854974,28.243486925095887,27.613045163831433,28.638017745902456,29.27237465149968,28.642732686826132,28.532185115058198,28.2884562947123,27.783740603189486,27.780103485864206,27.63996730291578,27.587828654226175,27.283145809230966,27.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-18,26.99789649770778,27.202314740892962,27.50610940632891,27.437786387233746,27.301992666587623,27.412423471477595,27.64109415050911,27.65834767903768,27.79883261504994,27.950795690317644,28.257571687570522,28.181150430938626,28.032918766673273,27.72458974273791,27.744877730865745,27.738942059724945,27.705913245035564,27.745523852004467,27.93658221117514,28.249168221847206,28.760359179294987,28.633441357831366,29.273378774553763,28.641462923387014,28.533069959772874,28.285825031598392,27.799591093171042,27.791018330571276,27.65570570362421,27.59610837107563,27.315935671308534,27.660518752512665,27.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-19,27.007940122321333,27.21142307324871,27.51219401196182,27.444209629240195,27.309863514399964,27.41930996595545,27.644824382413223,27.65783743972862,27.801659646416816,27.953183602118536,28.258270047410615,28.18588177489168,28.03481621074697,27.7298567762784,27.750844986820017,27.74752413145215,27.716839734575874,27.761267814500687,27.965523311473792,28.25479848075287,29.872912323595212,28.628866896029603,29.274259572582302,28.640077110219472,28.53354006094843,28.282857632573496,27.814312947315926,27.80095144947575,27.67034737202539,27.603681282846026,27.34804379440254,27.67083548416948,27.708524875815346,27.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-20,27.018189164435633,27.220594775563633,27.51825739652283,27.45025983873675,27.317518178726477,27.426043094846616,27.648257306996406,27.657259893190417,27.804607813479223,27.95566586539615,28.259267207614688,28.191384998602164,28.037251519192296,27.736177390220476,27.75766773521022,27.7568736432424,27.728283427445195,27.77682031643144,27.99366947285868,28.260371705913798,30.930239366971016,28.62430294629836,29.275018171739838,28.6385791662333,28.533598532125776,28.279551822497115,27.827846786800837,27.80983865181877,27.683791684298406,27.610463029432903,27.379181509589166,27.680768804838866,27.716786518664346,27.570931151040096,27.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-23,27.050305791826265,27.248632038309783,27.536500996971935,27.466659487300195,27.33960234407158,27.445984029101595,27.657535020914413,27.65572822825895,27.81463402458611,27.964156056965763,28.264917763522615,28.212548476075693,28.048123659691278,27.761546011774207,27.783018544431968,27.78886150126358,27.76468978370783,27.820471050878826,28.069769576519555,28.276684226357137,33.604944762558866,28.610775900973685,29.276591932287513,28.633479304100735,28.531422387916304,28.267686688923735,27.860999744496766,27.829869366440114,27.716288532041816,27.62550509152514,27.464430481812833,27.706832093783124,27.737847056867906,27.630608799561042,27.693938947866123,27.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-24,27.06148831831325,27.258173211568703,27.542642479246613,27.471686531330654,27.346779018409695,27.452721693627378,27.660507075345382,27.65549282129079,27.81849131932163,27.967453692407645,28.26789797174938,28.221106834557723,28.053004447610427,27.77210045954366,27.79298838773138,27.800615278191135,27.777212364854353,27.833534808462172,28.091436902542,28.2819626994413,34.28835932945009,28.60636102211516,29.276899523847376,28.63160878012444,28.529981590294724,28.263145169062664,27.86955215768748,27.834313014348297,27.72440956279639,27.628661795636404,27.48952649392677,27.713919575411833,27.743093960929365,27.64861567712343,27.706859906069454,27.45987265266845,26.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-27,27.096411863904294,27.287327438438425,27.56132650119935,27.48595239265157,27.36803989429488,27.473704501490875,27.669792221112047,27.656522983894682,27.831948684289227,27.979032122649524,28.280572867417174,28.25078690874755,28.071450607062733,27.80953324690167,27.82686614566897,27.838216898523527,27.814874945573138,27.866989445873937,28.14298724877743,28.297213771541024,35.608382905439264,28.593593071530965,29.27727992101582,28.62566900278934,28.52396294359404,28.2482217318945,27.888157847634954,27.841382584450916,27.74088350029957,27.63272018430973,27.553355391735916,27.72958580431872,27.752297529683894,27.694563514013094,27.737112438827527,27.624481867051237,27.275492613656425,27.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-30,27.13305247220795,27.316921979181327,27.58033117141578,27.49955858549268,27.389003984369715,27.496129360466416,27.68036517813081,27.661592910483552,27.848425717907855,27.99315012300575,28.298691994165782,28.285138005625363,28.095180245779584,27.85414154025877,27.865553421873685,27.877927315799134,27.851479138810145,27.891341981415394,28.1736613945974,28.311409976437552,35.81000473991003,28.581887122816635,29.27707929609802,28.61960865366991,28.51637971230333,28.232410101280255,27.897809069913045,27.840720490957214,27.747130607399704,27.629907277309652,27.599655649481818,27.736966777882802,27.751774955681444,27.726912209585464,27.752796192834385,27.746398384672585,27.526874186389893,27.54998747727845,27.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,27.14552348612524,27.326757188233206,27.586688836551556,27.504038486327456,27.395892837225254,27.50390696647709,27.684274603605576,27.66451176963706,27.854575063552844,27.998349569958755,28.305760208126877,28.297226879249745,28.104086393494306,27.870154138290985,27.87921829763221,27.89132093700454,27.863249495283444,27.897578524050463,28.179595054819373,28.31586489013591,35.64765192387168,28.578308122215873,29.276947360549933,28.617661503592906,28.51377620292236,28.227243417680043,27.899566960075383,27.839328898454802,27.74751788129129,27.62789847601631,27.611457363184265,27.737841661179605,27.74979584622149,27.734721305647643,27.75495404422187,27.775692720535705,27.588411139354964,27.639829666488673,27.362556609551135,26.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
